station:,LPC_192.168.0.10
process:,7071
workpiece code:,-
date:,18.05.2022
start:,14:10:56
duration:,105.5745968 s
PI:,7603.53 %s
scriptno.:,0
error:,-

time,ATemp,STemp,CtrlOut,CtrlNr
0.0000,400.0,440.0,0.0,1
0.0200,400.0,440.0,0.1,1
0.0400,400.0,440.0,1.1,1
0.0600,400.0,440.0,7.9,1
0.0800,400.0,440.0,57.9,1
0.1000,400.0,440.0,100.0,1
0.1200,400.0,440.0,100.0,1
0.1400,400.0,440.0,100.0,1
0.1600,400.0,440.0,100.0,1
0.1800,400.0,440.0,100.0,1
0.2000,400.0,440.0,100.0,1
0.2200,400.0,440.0,100.0,1
0.2400,400.0,440.0,100.0,1
0.2600,400.0,440.0,100.0,1
0.2800,400.0,440.0,100.0,1
0.3000,400.0,440.0,100.0,1
0.3200,400.0,440.0,100.0,1
0.3400,400.0,440.0,100.0,1
0.3600,400.0,440.0,100.0,1
0.3800,400.0,440.0,100.0,1
0.4000,400.0,440.0,100.0,1
0.4200,400.0,440.0,100.0,1
0.4400,400.0,440.0,100.0,1
0.4600,400.0,440.0,100.0,1
0.4800,400.0,440.0,100.0,1
0.5000,400.0,440.0,100.0,1
0.5200,400.0,440.0,100.0,1
0.5400,400.0,440.0,100.0,1
0.5600,400.0,440.0,100.0,1
0.5800,400.0,440.0,100.0,1
0.6000,400.0,440.0,100.0,1
0.6200,407.1,440.0,100.0,1
0.6400,416.2,440.0,100.0,1
0.6600,424.8,440.0,100.0,1
0.6800,434.2,440.0,100.0,1
0.7000,442.2,440.0,97.7,1
0.7200,446.4,440.0,78.0,1
0.7400,446.1,440.0,58.7,1
0.7600,445.2,440.0,46.0,1
0.7800,443.1,440.0,38.1,1
0.8000,442.6,440.0,33.4,1
0.8200,440.7,440.0,30.6,1
0.8400,441.3,440.0,28.9,1
0.8600,441.5,440.0,27.9,1
0.8800,440.0,440.0,27.4,1
0.9000,440.0,440.0,27.0,1
0.9200,440.9,440.0,26.8,1
0.9400,440.8,440.0,26.4,1
0.9600,440.2,440.0,26.0,1
0.9800,440.6,440.0,25.5,1
1.0000,440.6,440.0,24.9,1
1.0200,440.9,440.0,24.5,1
1.0400,440.6,440.0,24.0,1
1.0600,440.9,440.0,23.7,1
1.0800,440.2,440.0,23.5,1
1.1000,439.8,440.0,23.3,1
1.1200,439.5,440.0,23.1,1
1.1400,440.3,440.0,23.1,1
1.1600,440.0,440.0,23.0,1
1.1800,439.6,440.0,23.0,1
1.2000,440.2,440.0,22.9,1
1.2200,439.1,440.0,22.9,1
1.2400,440.0,440.0,22.8,1
1.2600,440.0,440.0,22.8,1
1.2800,439.9,440.0,23.0,1
1.3000,439.2,440.0,23.2,1
1.3200,439.5,440.0,23.4,1
1.3400,440.0,440.0,23.6,1
1.3600,440.3,440.0,23.7,1
1.3800,439.9,440.0,23.8,1
1.4000,439.9,440.0,23.9,1
1.4200,439.2,440.0,24.3,1
1.4400,439.0,440.0,24.6,1
1.4600,440.4,440.0,25.1,1
1.4800,437.6,440.0,25.7,1
1.5000,438.2,440.0,26.5,1
1.5200,439.6,440.0,27.3,1
1.5400,439.1,440.0,28.0,1
1.5600,438.3,440.0,28.7,1
1.5800,439.9,440.0,29.5,1
1.6000,438.4,440.0,30.3,1
1.6200,439.1,440.0,30.9,1
1.6400,439.4,440.0,31.6,1
1.6600,439.1,440.0,32.5,1
1.6800,438.7,440.0,33.8,1
1.7000,439.4,440.0,35.2,1
1.7200,439.4,440.0,36.9,1
1.7400,439.1,440.0,38.5,1
1.7600,439.1,440.0,39.8,1
1.7800,440.3,440.0,41.0,1
1.8000,439.8,440.0,42.2,1
1.8200,439.1,440.0,43.1,1
1.8400,439.8,440.0,43.9,1
1.8600,440.0,440.0,44.3,1
1.8800,440.2,440.0,44.7,1
1.9000,438.4,440.0,45.2,1
1.9200,440.0,440.0,45.9,1
1.9400,439.8,440.0,46.4,1
1.9600,439.9,440.0,46.6,1
1.9800,440.4,440.0,46.6,1
2.0000,440.7,440.0,46.1,1
2.0200,440.0,440.0,45.7,1
2.0400,440.0,440.0,45.3,1
2.0600,439.9,440.0,44.8,1
2.0800,440.8,440.0,44.3,1
2.1000,440.0,440.0,43.9,1
2.1200,440.4,440.0,43.4,1
2.1400,439.9,440.0,43.2,1
2.1600,440.0,440.0,42.9,1
2.1800,440.7,440.0,42.7,1
2.2000,440.3,440.0,42.6,1
2.2200,439.6,440.0,42.4,1
2.2400,439.4,440.0,42.3,1
2.2600,439.4,440.0,42.4,1
2.2800,439.1,440.0,42.5,1
2.3000,439.8,440.0,42.4,1
2.3200,440.2,440.0,42.2,1
2.3400,440.3,440.0,42.1,1
2.3600,440.7,440.0,41.7,1
2.3800,440.0,440.0,41.5,1
2.4000,440.2,440.0,41.1,1
2.4200,440.2,440.0,40.7,1
2.4400,439.8,440.0,40.5,1
2.4600,440.3,440.0,40.5,1
2.4800,440.4,440.0,40.5,1
2.5000,439.9,440.0,40.4,1
2.5200,440.4,440.0,40.4,1
2.5400,440.9,440.0,40.4,1
2.5600,440.3,440.0,40.3,1
2.5800,440.0,440.0,40.3,1
2.6000,440.0,440.0,40.2,1
2.6200,440.4,440.0,40.2,1
2.6400,439.9,440.0,40.2,1
2.6600,440.0,440.0,40.1,1
2.6800,439.9,440.0,40.0,1
2.7000,439.5,440.0,39.9,1
2.7200,440.4,440.0,39.9,1
2.7400,440.3,440.0,40.0,1
2.7600,439.2,440.0,40.1,1
2.7800,440.9,440.0,40.1,1
2.8000,439.2,440.0,40.0,1
2.8200,440.3,440.0,40.0,1
2.8400,439.4,440.0,40.0,1
2.8600,439.5,440.0,39.9,1
2.8800,439.6,440.0,40.0,1
2.9000,440.8,440.0,40.2,1
2.9200,439.9,440.0,40.2,1
2.9400,440.0,440.0,40.1,1
