Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-659.9322444269951,577.6597616480218
0.02,61.0,-200.27746771541345,577.6597616480218
0.04,148.0,-50.952643481469906,256.6127521700688
0.06,130.0,-37.21622769532017,196.91129416741813
0.08,133.0,-14.078248190702267,166.0050027200439
0.1,108.0,-24.831334003807953,146.25372907245514
0.12,92.0,-30.064072056424184,132.22364942039727
0.14,88.0,-25.555392593774002,121.59228605664653
0.16,70.0,-36.611257734546314,113.17539392789352
0.18,77.0,-23.80391929578047,106.29668684570956
0.2,91.0,-4.853394723941457,100.53792666696548
0.22,71.0,-20.567670287609864,95.62464021439047
0.24,57.0,-30.810063959738933,91.36820454543603
0.26,70.0,-14.480273048864758,87.63412726918189
0.28,63.0,-18.502798023966427,84.32357530621596
0.3,74.0,-4.819571327606094,81.36207098749875
0.32,70.0,-6.385102935470416,78.6922739322242
0.34,57.0,-17.16317802078828,76.26922698157786
0.36,64.0,-8.12455907617462,74.05711156044839
0.38,53.0,-17.245347739651116,72.02699176093883
0.4,43.0,-25.505793417063114,70.15520239443025
0.42,46.0,-20.889408749193098,68.42217382646086
0.44,56.0,-9.38231086125798,66.81156413313956
0.46,50.0,-13.972713292941101,65.30960535743286
0.48,48.0,-14.650536184033994,63.90460569119557
0.5,45.0,-16.407099191321006,62.586561091323745
0.52,46.0,-14.234885454197272,61.346854872359344
0.54,43.0,-16.127343707257396,60.17802334103809
0.56,46.0,-12.07873712292352,59.07355814729681
0.58,37.0,-20.084018141697236,58.02776061052849
0.6,44.0,-12.138722137478343,57.03561440406709
0.62,41.0,-14.238888977856062,56.092681843110576
0.64,59.0,4.619013508251223,55.19502568343067
0.66,46.0,-7.561855394714865,54.339133781105446
0.68,39.0,-13.778661128402026,53.521864494667305
0.7000000000000001,45.0,-7.028850468367926,52.740397809296574
0.72,37.0,-14.31011599971362,51.992193851990734
0.74,35.0,-15.620369652622522,51.27495689036064
0.76,49.0,-0.9577136152951149,50.58660839133242
0.78,33.0,-16.320420306789284,49.92526031826783
0.8,34.0,-14.706910204093514,49.28919248120039
0.8200000000000001,37.0,-11.115741351709882,48.67683274809415
0.84,31.0,-16.54559028816866,48.08674512391538
0.86,36.0,-10.995238456169927,47.51761210765856
0.88,42.0,-4.4635667189565496,46.9682201488137
0.9,41.0,-4.949542008874344,46.43745464057644
0.92,40.0,-5.452208505885087,45.9242863299897
0.9400000000000001,36.0,-8.970682392358036,45.42776392696802
0.96,36.0,-8.504144223675734,44.94700599806634
0.98,1042.0,997.9481696548343,44.48119691336431
1.0,144.0,100.38696520055157,44.02957516395643
1.02,35.0,-8.187095259742945,43.5914378919049
