energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
700,1.12411,1.00207,1.11267,1.27988,1.21957,680,1.12969,0.945143,1.14592,1.30938,1.3046,525,1.13456,0.884556,1.22769,1.548,1.58241,280,2.87743,1.71636,2.02346,2.00685,2.0413
700.5,1.09467,0.969867,0.981333,1.24571,1.24629,680.5,1.15456,0.979,1.13831,1.375,1.31827,526,1.19161,0.912,1.30723,1.62614,1.64124,280.5,2.86517,1.69716,2.01404,2.01015,1.99025
701,1.20022,1.03953,1.06444,1.30147,1.158,681,1.13719,0.918905,1.10431,1.30338,1.22633,527,1.164,0.875037,1.25862,1.63243,1.618,281,2.96547,1.72152,1.98425,2.069,2.04315
701.5,1.17633,1.0344,1.02044,1.23635,1.26386,681.5,1.10619,0.936619,1.18862,1.27952,1.25,528,1.19311,0.899111,1.30562,1.63971,1.64035,281.5,2.99013,1.72508,1.96661,2.02231,2.02195
702,1.19689,1.02267,1.03744,1.25847,1.24857,682,1.11131,0.921952,1.19462,1.23281,1.2938,529,1.18289,0.884444,1.38431,1.63729,1.61476,282,2.9224,1.72544,2.00318,2.10615,2.0109
702.5,1.13578,0.992133,1.05189,1.27624,1.25514,682.5,1.11394,0.96219,1.21669,1.29452,1.25427,530,1.17856,0.962482,1.41477,1.65386,1.63271,282.5,3.00043,1.74972,1.97893,2.12492,2.0467
703,1.12756,1.0692,1.02111,1.24282,1.21,683,1.13962,0.903762,1.19554,1.29052,1.26753,530.2,1.19594,1.03796,1.39454,1.66186,1.65176,283,2.98903,1.71884,1.99361,2.12215,2.05515
703.5,1.16644,0.988133,1.01356,1.30782,1.26357,683.5,1.13587,0.922333,1.253,1.29981,1.23553,530.4,1.20683,1.12089,1.42869,1.65729,1.638,283.5,2.9706,1.77252,1.96471,2.10546,2.11075
704,1.235,0.9912,1.07011,1.26041,1.22757,684,1.124,0.925,1.28538,1.29395,1.30507,530.6,1.2255,1.22374,1.49015,1.67186,1.63482,284,3.02757,1.82336,2.14879,2.28792,2.17705
704.1,1.17611,0.988867,1.112,1.26841,1.25414,684.15,1.12356,0.934667,1.24481,1.27624,1.24693,530.8,1.20072,1.28385,1.51669,1.65143,1.61971,284.15,3.053,1.94912,2.22529,2.31469,2.2507
704.2,1.217,1.01627,1.11333,1.20924,1.27729,684.3,1.12812,0.946952,1.25338,1.26976,1.219,531,1.20733,1.30774,1.50523,1.66029,1.62018,284.3,3.01223,2.01028,2.28225,2.45023,2.3788
704.3,1.19922,0.998667,1.09022,1.26765,1.23471,684.45,1.08613,0.914381,1.23042,1.28262,1.2524,531.2,1.21539,1.32063,1.53854,1.672,1.62729,284.45,3.00773,2.05012,2.35821,2.53231,2.4766
704.4,1.26511,0.993533,1.04033,1.25329,1.26014,684.6,1.09625,0.914095,1.2585,1.261,1.3018,531.4,1.21689,1.29815,1.53454,1.706,1.65394,284.6,2.9402,2.14568,2.55282,2.67131,2.6246
704.5,1.154,1.04887,1.107,1.27418,1.23586,684.75,1.13969,0.965571,1.25727,1.26086,1.27507,531.6,1.22983,1.36656,1.65915,1.76243,1.69018,284.75,2.94473,2.25304,2.62975,2.63431,2.7476
704.6,1.31511,1.00787,1.14111,1.24106,1.24729,684.9,1.11944,0.926143,1.23123,1.32719,1.25727,531.8,1.21439,1.31126,1.592,1.68543,1.62929,284.9,2.915,2.27268,2.58786,2.76854,2.6872
704.7,1.17767,0.9906,1.12444,1.26206,1.27329,685.05,1.10088,0.935714,1.25735,1.28733,1.3022,532,1.23717,1.33667,1.54492,1.68886,1.65194,285.05,2.91677,2.29736,2.58354,2.778,2.72555
704.8,1.19367,0.979667,1.15911,1.25541,1.21357,685.2,1.09787,0.923619,1.23008,1.30957,1.28027,532.2,1.22422,1.30148,1.58023,1.71129,1.65365,285.2,2.89783,2.27636,2.62632,2.75654,2.699
704.9,1.15644,1.00733,1.08367,1.25335,1.21786,685.35,1.10394,0.891667,1.23335,1.25686,1.29307,532.4,1.21811,1.3017,1.61585,1.69143,1.64082,285.35,2.76833,2.31772,2.70639,2.66723,2.72385
